,recomm,words,words_Update
干炸小丸子,1839,干炸-小丸子,干炸-小丸子
樟茶鸭,1837,樟茶-鸭,樟茶-鸭
辣子鸡,1829,辣子鸡,辣子鸡
手切羊肉,1824,手切-羊肉,手切-羊肉
基围虾,1819,基围-虾,基围-虾
红杏鸡,1818,红杏鸡,红杏-鸡
八爷烤鸭,1811,八爷-烤鸭,八爷-烤鸭
梨汤,1810,梨-汤,梨汤
油焖大虾,1805,油焖-大虾,油焖-大虾
红米肠,1796,红米肠,红米肠
小笼包,1787,小笼包,小笼包
火燎鸭心,1766,火燎-鸭心,火燎-鸭心
蒜香河虾,1765,蒜-香河-虾,蒜-香河-虾
台塑牛排,1761,台塑-牛排,台塑-牛排
虾仁鸡翅,1761,虾仁-鸡翅,虾仁-鸡翅
酱骨架,1761,酱-骨架,酱-骨-架
海鲜粥,1753,海鲜-粥,海鲜-粥
凉面,1752,凉面,凉面
笔筒色拉,1737,笔筒-色拉,笔筒-色拉
生鱼片,1708,生鱼片,生鱼片
葱烤大排,1696,葱-烤-大排,葱烤-大排
鸭血粉丝汤,1691,鸭血-粉丝汤,鸭血-粉丝汤
春天虾饺皇,1686,春天-虾饺-皇,春天-虾饺-皇
局气豆腐,1678,局气-豆腐,局气-豆腐
螃蟹,1678,螃蟹,螃蟹
羊肉泡馍,1668,羊肉-泡馍,羊肉-泡馍
香茅草烤罗非鱼,1652,香茅草-烤-罗非鱼,香茅草-烤-罗非鱼
点心,1636,点心,点心
水晶鸡,1629,水晶-鸡,水晶-鸡
罾蹦鲤鱼,1629,罾-蹦-鲤鱼,罾-蹦-鲤鱼
妈妈熏排骨,1620,妈妈-熏-排骨,妈妈-熏-排骨
瑞士牛排,1605,瑞士-牛排,瑞士-牛排
小鸡炖蘑菇,1593,小鸡-炖-蘑菇,小鸡-炖-蘑菇
肉蟹煲,1584,肉蟹-煲,肉蟹-煲
椒麻鸡,1577,椒-麻鸡,椒麻-鸡
榴莲披萨,1566,榴莲-披萨,榴莲-披萨
椰子鸡,1564,椰子-鸡,椰子-鸡
豆豉清江鱼,1561,豆豉-清江-鱼,豆豉-清江-鱼
炒疙瘩,1555,炒-疙瘩,炒-疙瘩
烤乳鸽,1554,烤-乳鸽,烤-乳鸽
蛋黄子排,1552,蛋黄-子排,蛋黄-子排
飞鱼籽蒸蛋,1551,飞鱼-籽-蒸蛋,飞鱼-籽-蒸蛋
小炒肉,1544,小炒-肉,小炒-肉
京酱肉丝,1540,京酱-肉丝,京酱-肉丝
自制豆腐,1530,自制-豆腐,自制-豆腐
夸张的新疆大盘鸡,1529,夸张-的-新疆-大盘鸡,夸张-的-新疆-大盘鸡
香辣美容蹄,1528,香辣-美容-蹄,香辣-美容-蹄
醋溜木须,1526,醋溜-木须,醋溜-木须
锅贴,1524,锅贴,锅贴
沸腾鱼,1523,沸腾-鱼,沸腾-鱼
手打牛肉丸,1520,手打-牛肉丸,手打-牛肉丸
黄馍馍,1519,黄-馍馍,黄-馍馍
拿破仑,1518,拿破仑,拿破仑
抹茶慕斯,1509,抹-茶-慕斯,抹-茶-慕斯
香酥鸭,1502,香酥-鸭,香酥-鸭
奶油蘑菇汤,1500,奶油-蘑菇-汤,奶油-蘑菇-汤
咖喱皇大虾配法式面包,1496,咖喱-皇-大虾-配-法式-面包,咖喱-皇-大虾-配-法式-面包
麻辣香锅,1488,麻辣-香锅,麻辣-香锅
小馄饨,1486,小-馄饨,小-馄饨
碳烧猪颈肉,1484,碳-烧猪-颈肉,碳-烧猪-颈肉
锡纸鲈鱼,1481,锡纸-鲈鱼,锡纸-鲈鱼
白斩鸡,1479,白斩鸡,白斩鸡
酸辣土豆丝,1468,酸辣-土豆丝,酸辣-土豆丝
羲和烤鸭,1461,羲-和-烤鸭,羲-和-烤鸭
鹅肝包,1460,鹅-肝包,鹅-肝包
金针菇,1458,金针菇,金针菇
八色小笼,1453,八色-小笼,八色-小笼
麻辣烫,1449,麻辣烫,麻辣烫
文东海南鸡,1446,文-东海-南鸡,文-东海-南鸡
玉米烙,1446,玉米-烙,玉米-烙
牛肉面,1445,牛肉面,牛肉面
江石滚肥牛,1442,江石-滚-肥牛,江石-滚-肥牛
铜锣烧,1426,铜锣-烧,铜锣-烧
老奶洋芋,1421,老奶-洋芋,老奶-洋芋
餐前面包,1421,餐前-面包,餐前-面包
想吃土豆,1416,想-吃-土豆,想-吃-土豆
牛肚,1416,牛肚,牛肚
越式牛柳粒,1416,越式-牛柳-粒,越式-牛柳-粒
长安葫芦鸡,1407,长安-葫芦-鸡,长安-葫芦-鸡
津味油条,1405,津味-油条,津味-油条
老妈红烧肉,1405,老妈-红烧肉,老妈-红烧肉
卤肉饭,1404,卤肉饭,卤肉饭
鸭血粉丝煲,1404,鸭血-粉丝-煲,鸭血-粉丝-煲
小豆凉糕,1402,小豆-凉糕,小豆-凉糕
炸糕,1402,炸糕,炸糕
鱼生,1399,鱼-生,鱼-生
咖喱虾,1394,咖喱-虾,咖喱-虾
玉兰饼,1394,玉兰-饼,玉兰-饼
桃仁剔炒鸡,1389,桃仁-剔-炒-鸡,桃仁-剔-炒-鸡
梭子蟹炒年糕,1379,梭子蟹-炒年糕,梭子蟹-炒年糕
葱油饼,1377,葱油饼,葱油饼
清江鱼,1375,清江-鱼,清江-鱼
鸡爪,1365,鸡爪,鸡爪
凤梨虾球,1361,凤梨-虾球,凤梨-虾球
人间豆腐,1355,人间-豆腐,人间-豆腐
牛羊杂汤,1347,牛羊-杂汤,牛羊-杂汤
鱼头,1345,鱼头,鱼头
地三鲜,1339,地-三鲜,地-三鲜
深井烧鹅,1334,深井-烧鹅,深井-烧鹅
酱骨头,1332,酱-骨头,酱-骨头
烤串,1330,烤串,烤串
烤鳗鱼,1330,烤鳗鱼,烤鳗鱼
窑烤大羊肉串,1324,窑-烤-大-羊肉串,窑-烤-大-羊肉串
奶油烤蘑菇,1314,奶油-烤-蘑菇,奶油-烤-蘑菇
拉面,1314,拉面,拉面
黄喉,1309,黄喉,黄喉
奶香青豆泥,1301,奶香-青豆-泥,奶香-青豆-泥
炸灌肠,1297,炸-灌肠,炸-灌肠
十三香小龙虾,1295,十三-香-小龙虾,十三-香-小龙虾
咸水鸭肝,1287,咸水-鸭肝,咸水-鸭肝
刀削面,1277,刀削面,刀削面
蕨根粉,1277,蕨-根粉,蕨-根粉
小米椒爱上小公鸡,1276,小米-椒-爱-上-小公鸡,小米椒-爱-上-小公鸡
湘西霸王蛙,1275,湘西-霸王-蛙,湘西-霸王-蛙
菠萝炒饭,1274,菠萝-炒饭,菠萝-炒饭
叉烧酥,1271,叉烧-酥,叉烧-酥
铁板鲈鱼,1271,铁板-鲈鱼,铁板-鲈鱼
葱油鸡,1268,葱油鸡,葱油鸡
秘制牛肉,1262,秘制-牛肉,秘制-牛肉
宫爆虾球,1259,宫爆-虾球,宫爆-虾球
酸辣粉,1256,酸辣粉,酸辣粉
砂锅豆腐,1255,砂锅-豆腐,砂锅-豆腐
湄公鱼,1252,湄公鱼,湄公鱼
凉拌素三样,1247,凉拌-素-三样,凉拌-素-三样
清蒸鲈鱼,1245,清蒸-鲈鱼,清蒸-鲈鱼
榴莲薄饼,1239,榴莲-薄饼,榴莲-薄饼
西湖雪媚娘,1238,西湖-雪媚娘,西湖-雪媚娘
猪手,1234,猪手,猪手
掌中宝,1233,掌中宝,掌中宝
蜜辣烤翅,1226,蜜辣-烤-翅,蜜辣-烤-翅
嫩肉,1222,嫩肉,嫩肉
红烧牛肉面,1216,红烧-牛肉面,红烧-牛肉面
金牌烤鸭,1213,金牌-烤鸭,金牌-烤鸭
雪梅娘,1213,雪梅娘,雪梅娘
胡桃里烤鸡,1212,胡桃-里-烤鸡,胡桃-里-烤鸡
炸腐皮,1211,炸腐皮,炸腐皮
老醋蛰头,1208,老醋-蛰头,老醋-蛰头
杏仁豆腐,1207,杏仁豆腐,杏仁-豆腐
疙瘩汤,1201,疙瘩汤,疙瘩汤
蒜蓉粉丝蒸扇贝,1193,蒜蓉-粉丝-蒸-扇贝,蒜蓉-粉丝-蒸-扇贝
薯条,1190,薯条,薯条
牛肉粒,1187,牛肉-粒,牛肉-粒
椒盐九肚鱼,1183,椒盐-九肚鱼,椒盐-九肚鱼
金牌烧鹅,1183,金牌-烧鹅,金牌-烧鹅
烧烤,1177,烧烤,烧烤
熏鲳鱼,1173,熏-鲳鱼,熏-鲳鱼
凉皮,1168,凉皮,凉皮
娜帕里勇,1168,娜-帕里-勇,娜-帕里-勇
珊瑚虾,1166,珊瑚-虾,珊瑚-虾
烧排骨,1165,烧-排骨,烧-排骨
冬阴功海鲜清汤,1161,冬阴功-海鲜-清汤,冬阴功-海鲜-清汤
酱鸭头,1156,酱鸭-头,酱鸭-头
黑三剁,1152,黑三-剁,黑-三剁
铁勺凤爪,1143,铁勺-凤爪,铁勺-凤爪
鸡蛋仔,1141,鸡蛋-仔,鸡蛋-仔
食神咖喱牛腩,1138,食神-咖喱-牛腩,食神-咖喱-牛腩
汉家果木烤鸭,1134,汉家-果木-烤鸭,汉家-果木-烤鸭
一桶豆腐,1131,一桶-豆腐,一桶-豆腐
金牌虾饺皇,1130,金牌-虾饺-皇,金牌-虾饺-皇
香芒大虾沙律,1130,香芒-大虾-沙律,香芒-大虾-沙律
全聚德烤鸭,1129,全聚德-烤鸭,全聚德-烤鸭
咖喱皇大虾,1127,咖喱-皇-大虾,咖喱-皇-大虾
它似蜜,1124,它-似蜜,它-似蜜
帝王蟹,1122,帝王-蟹,帝王-蟹
